,gw,kickoff,team_h,team_a,score_h,score_a,id,time,type,text,playerIds,game_id,time_in_seconds,on_name,off_name,on_id,on_id_freq,off_id,off_id_freq,on_opta_id,off_opta_id,on_fpl_id,off_fpl_id,team_code,team_id,team_short,missing
32,10,"Sat 8 Oct 2022, 15:00 BST",Newcastle United,Brentford,5,1,1733720,63,substitution,"Substitution, Brentford. Yoane Wissa replaces Bryan Mbeumo.","[117497, 66360]",75008,3733,Yoane Wissa,Bryan Mbeumo,117497,8,66360,11,p216646,p446008,89,95,130,4,BRE,FALSE
181,12,"Wed 19 Oct 2022, 19:30 BST",Brentford,Chelsea,0,0,1743230,73,substitution,"Substitution, Brentford. Yoane Wissa replaces Bryan Mbeumo.","[117497, 66360]",75023,4321,Yoane Wissa,Bryan Mbeumo,117497,8,66360,11,p216646,p446008,89,95,130,4,BRE,FALSE
264,13,"Sun 23 Oct 2022, 14:00 BST",Aston Villa,Brentford,4,0,1745691,61,substitution,"Substitution, Brentford. Yoane Wissa replaces Bryan Mbeumo.","[117497, 66360]",75031,3657,Yoane Wissa,Bryan Mbeumo,117497,8,66360,11,p216646,p446008,89,95,130,4,BRE,FALSE
506,2,"Sat 13 Aug 2022, 17:30 BST",Brentford,Manchester United,4,0,1707737,73,substitution,"Substitution, Brentford. Yoane Wissa replaces Bryan Mbeumo.","[117497, 66360]",74923,4369,Yoane Wissa,Bryan Mbeumo,117497,8,66360,11,p216646,p446008,89,95,130,4,BRE,FALSE
761,6,"Sat 3 Sep 2022, 15:00 BST",Brentford,Leeds United,5,2,1715790,83,substitution,"Substitution, Brentford. Yoane Wissa replaces Bryan Mbeumo.","[117497, 66360]",74962,4939,Yoane Wissa,Bryan Mbeumo,117497,8,66360,11,p216646,p446008,89,95,130,4,BRE,FALSE
873,8,"Sun 18 Sep 2022, 12:00 BST",Brentford,Arsenal,0,3,1726207,76,substitution,"Substitution, Brentford. Yoane Wissa replaces Bryan Mbeumo.","[117497, 66360]",74982,4540,Yoane Wissa,Bryan Mbeumo,117497,8,66360,11,p216646,p446008,89,95,130,4,BRE,FALSE
899,9,"Sat 1 Oct 2022, 15:00 BST",Bournemouth,Brentford,0,0,1727520,61,substitution,"Substitution, Brentford. Yoane Wissa replaces Bryan Mbeumo.","[117497, 66360]",74992,3630,Yoane Wissa,Bryan Mbeumo,117497,8,66360,11,p216646,p446008,89,95,130,4,BRE,FALSE
617,4,"Sat 27 Aug 2022, 15:00 BST",Brentford,Everton,1,1,1713269,78,substitution,"Substitution, Brentford. Mikkel Damsgaard replaces Bryan Mbeumo.","[49731, 66360]",74943,4654,Mikkel Damsgaard,Bryan Mbeumo,49731,7,66360,11,p440089,p446008,580,95,130,4,BRE,FALSE
694,5,"Tue 30 Aug 2022, 19:30 BST",Crystal Palace,Brentford,1,1,1714431,68,substitution,"Substitution, Brentford. Frank Onyeka replaces Bryan Mbeumo.","[108612, 66360]",74953,4055,Frank Onyeka,Bryan Mbeumo,108612,7,66360,11,p428580,p446008,93,95,130,4,BRE,FALSE
80,11,"Fri 14 Oct 2022, 20:00 BST",Brentford,Brighton and Hove Albion,2,0,1739639,80,substitution,"Substitution, Brentford. Sergi Canós replaces Bryan Mbeumo.","[13225, 66360]",75012,4770,Sergi Canós,Bryan Mbeumo,13225,3,66360,11,p174932,p446008,82,95,130,4,BRE,FALSE
319,14,"Sat 29 Oct 2022, 15:00 BST",Brentford,Wolverhampton Wanderers,1,1,1751205,83,substitution,"Substitution, Brentford. Sergi Canós replaces Bryan Mbeumo.","[13225, 66360]",75043,4963,Sergi Canós,Bryan Mbeumo,13225,3,66360,11,p174932,p446008,82,95,130,4,BRE,FALSE
145,11,"Sun 16 Oct 2022, 14:00 BST",Southampton,West Ham United,1,1,1741030,74,substitution,"Substitution, Southampton. Stuart Armstrong replaces Adam Armstrong.","[12186, 9199]",75018,4409,Stuart Armstrong,Adam Armstrong,12186,7,9199,10,p91047,p155511,405,408,20,17,SOU,FALSE
421,1,"Sat 6 Aug 2022, 15:00 BST",Tottenham Hotspur,Southampton,4,1,1702397,46,substitution,"Substitution, Southampton. Stuart Armstrong replaces Adam Armstrong.","[12186, 9199]",74918,2700,Stuart Armstrong,Adam Armstrong,12186,7,9199,10,p91047,p155511,405,408,20,17,SOU,FALSE
565,3,"Sat 20 Aug 2022, 15:00 BST",Leicester City,Southampton,1,2,1708963,70,substitution,"Substitution, Southampton. Stuart Armstrong replaces Adam Armstrong.","[12186, 9199]",74936,4189,Stuart Armstrong,Adam Armstrong,12186,7,9199,10,p91047,p155511,405,408,20,17,SOU,FALSE
610,4,"Sat 27 Aug 2022, 12:30 BST",Southampton,Manchester United,0,1,1712886,77,substitution,"Substitution, Southampton. Sékou Mara replaces Adam Armstrong.","[127416, 9199]",74949,4616,Sékou Mara,Adam Armstrong,127416,7,9199,10,p476888,p155511,528,408,20,17,SOU,FALSE
798,6,"Sat 3 Sep 2022, 15:00 BST",Wolverhampton Wanderers,Southampton,1,0,1715778,83,substitution,"Substitution, Southampton. Sékou Mara replaces Adam Armstrong.","[127416, 9199]",74970,4953,Sékou Mara,Adam Armstrong,127416,7,9199,10,p476888,p155511,528,408,20,17,SOU,FALSE
830,8,"Fri 16 Sep 2022, 20:00 BST",Aston Villa,Southampton,1,0,1724973,71,substitution,"Substitution, Southampton. Stuart Armstrong replaces Adam Armstrong.","[12186, 9199]",74981,4240,Stuart Armstrong,Adam Armstrong,12186,7,9199,10,p91047,p155511,405,408,20,17,SOU,FALSE
169,12,"Wed 19 Oct 2022, 19:30 BST",Bournemouth,Southampton,0,1,1743294,88,substitution,"Substitution, Southampton. Moussa Djenepo replaces Adam Armstrong.","[52153, 9199]",75022,5243,Moussa Djenepo,Adam Armstrong,52153,5,9199,10,p431131,p155511,418,408,20,17,SOU,FALSE
703,5,"Tue 30 Aug 2022, 19:45 BST",Southampton,Chelsea,2,1,1714555,86,substitution,"Substitution, Southampton. Lyanco replaces Adam Armstrong.","[49961, 9199]",74960,5130,Lyanco,Adam Armstrong,49961,4,9199,10,p212721,p155511,413,408,20,17,SOU,FALSE
22,10,"Sat 8 Oct 2022, 15:00 BST",Manchester City,Southampton,4,0,1733742,66,substitution,"Substitution, Southampton. Mohamed Elyounoussi replaces Adam Armstrong.","[15967, 9199]",75007,3923,Mohamed Elyounoussi,Adam Armstrong,15967,2,9199,10,p96787,p155511,406,408,20,17,SOU,FALSE
278,13,"Sun 23 Oct 2022, 14:00 BST",Southampton,Arsenal,1,1,1745740,73,substitution,"Substitution, Southampton. Theo Walcott replaces Adam Armstrong.","[2839, 9199]",75037,4347,Theo Walcott,Adam Armstrong,2839,1,9199,10,p20467,p155511,400,408,20,17,SOU,FALSE
