,gw,kickoff,team_h,team_a,score_h,score_a,id,time,type,text,playerIds,game_id,time_in_seconds,on_name,off_name,on_id,on_id_freq,off_id,off_id_freq,on_opta_id,off_opta_id,on_fpl_id,off_fpl_id,team_code,team_id,team_short,missing
56,10,"Sun 9 Oct 2022, 14:00 BST",West Ham United,Fulham,3,1,1734522,71,substitution,"Substitution, Fulham. Tom Cairney replaces Harrison Reed.","[3894, 4818]",75010,4212,Tom Cairney,Harrison Reed,3894,13,4818,5,p76357,p153366,200,211,34,9,FUL,FALSE
100,11,"Sat 15 Oct 2022, 15:00 BST",Fulham,Bournemouth,2,2,1740072,46,substitution,"Substitution, Fulham. Tom Cairney replaces Harrison Reed.","[3894, 4818]",75013,2700,Tom Cairney,Harrison Reed,3894,13,4818,5,p76357,p153366,200,211,34,9,FUL,FALSE
214,12,"Thu 20 Oct 2022, 19:30 BST",Fulham,Aston Villa,3,0,1744092,73,substitution,"Substitution, Fulham. Tom Cairney replaces Harrison Reed.","[3894, 4818]",75026,4363,Tom Cairney,Harrison Reed,3894,13,4818,5,p76357,p153366,200,211,34,9,FUL,FALSE
269,13,"Sun 23 Oct 2022, 14:00 BST",Leeds United,Fulham,2,3,1745845,90 +2,substitution,"Substitution, Fulham. Tom Cairney replaces Harrison Reed.","[3894, 4818]",75034,5503,Tom Cairney,Harrison Reed,3894,13,4818,5,p76357,p153366,200,211,34,9,FUL,FALSE
352,14,"Sat 29 Oct 2022, 17:30 BST",Fulham,Everton,0,0,1751489,76,substitution,"Substitution, Fulham. Tom Cairney replaces Andreas Pereira.","[3894, 10476]",75046,4536,Tom Cairney,Andreas Pereira,3894,13,10476,10,p76357,p156689,200,346,34,9,FUL,FALSE
387,1,"Sat 6 Aug 2022, 12:30 BST",Fulham,Liverpool,2,2,1702188,89,substitution,"Substitution, Fulham. Tom Cairney replaces Andreas Pereira.","[3894, 10476]",74914,5319,Tom Cairney,Andreas Pereira,3894,13,10476,10,p76357,p156689,200,346,34,9,FUL,FALSE
497,2,"Sat 13 Aug 2022, 15:00 BST",Wolverhampton Wanderers,Fulham,0,0,1707591,86,substitution,"Substitution, Fulham. Tom Cairney replaces Andreas Pereira because of an injury.","[3894, 10476]",74930,5121,Tom Cairney,Andreas Pereira,3894,13,10476,10,p76357,p156689,200,346,34,9,FUL,FALSE
559,3,"Sat 20 Aug 2022, 15:00 BST",Fulham,Brentford,3,2,1709012,77,substitution,"Substitution, Fulham. Tom Cairney replaces Jay Stansfield.","[3894, 66563]",74934,4605,Tom Cairney,Jay Stansfield,3894,13,66563,1,p76357,p490146,200,219,34,9,FUL,FALSE
662,4,"Sat 27 Aug 2022, 17:30 BST",Arsenal,Fulham,2,1,1713442,69,substitution,"Substitution, Fulham. Tom Cairney replaces Neeskens Kebano.","[3894, 20178]",74941,4098,Tom Cairney,Neeskens Kebano,3894,13,20178,8,p76357,p92259,200,204,34,9,FUL,FALSE
699,5,"Tue 30 Aug 2022, 19:30 BST",Fulham,Brighton and Hove Albion,2,1,1714449,78,substitution,"Substitution, Fulham. Tom Cairney replaces Andreas Pereira.","[3894, 10476]",74954,4628,Tom Cairney,Andreas Pereira,3894,13,10476,10,p76357,p156689,200,346,34,9,FUL,FALSE
794,6,"Sat 3 Sep 2022, 15:00 BST",Tottenham Hotspur,Fulham,2,1,1715671,61,substitution,"Substitution, Fulham. Tom Cairney replaces Andreas Pereira.","[3894, 10476]",74969,3624,Tom Cairney,Andreas Pereira,3894,13,10476,10,p76357,p156689,200,346,34,9,FUL,FALSE
839,8,"Fri 16 Sep 2022, 20:00 BST",Nottingham Forest,Fulham,2,3,1725010,83,substitution,"Substitution, Fulham. Tom Cairney replaces Andreas Pereira.","[3894, 10476]",74988,4940,Tom Cairney,Andreas Pereira,3894,13,10476,10,p76357,p156689,200,346,34,9,FUL,FALSE
914,9,"Sat 1 Oct 2022, 15:00 BST",Fulham,Newcastle United,1,4,1727407,45 +3,substitution,"Substitution, Fulham. Tom Cairney replaces Kevin Mbabu.","[3894, 4706]",74994,2839,Tom Cairney,Kevin Mbabu,3894,13,4706,1,p76357,p120721,200,532,34,9,FUL,FALSE
58,10,"Sun 9 Oct 2022, 16:30 BST",Arsenal,Liverpool,3,2,1734810,90 +1,substitution,"Substitution, Arsenal. Eddie Nketiah replaces Gabriel Jesus.","[14451, 19680]",75001,5454,Eddie Nketiah,Gabriel Jesus,14451,12,19680,7,p205533,p205651,11,28,1,1,ARS,FALSE
129,11,"Sun 16 Oct 2022, 14:00 BST",Leeds United,Arsenal,0,1,1741222,82,substitution,"Substitution, Arsenal. Eddie Nketiah replaces Gabriel Jesus.","[14451, 19680]",75014,4881,Eddie Nketiah,Gabriel Jesus,14451,12,19680,7,p205533,p205651,11,28,1,1,ARS,FALSE
281,13,"Sun 23 Oct 2022, 14:00 BST",Southampton,Arsenal,1,1,1745737,71,substitution,"Substitution, Arsenal. Eddie Nketiah replaces Gabriel Martinelli.","[14451, 66104]",75037,4249,Eddie Nketiah,Gabriel Martinelli,14451,12,66104,4,p205533,p444145,11,19,1,1,ARS,FALSE
366,14,"Sun 30 Oct 2022, 14:00 GMT",Arsenal,Nottingham Forest,5,0,1752250,75,substitution,"Substitution, Arsenal. Eddie Nketiah replaces Granit Xhaka.","[14451, 12136]",75041,4491,Eddie Nketiah,Granit Xhaka,14451,12,12136,2,p205533,p84450,11,3,1,1,ARS,FALSE
382,1,"Fri 5 Aug 2022, 20:00 BST",Crystal Palace,Arsenal,0,2,1702090,83,substitution,"Substitution, Arsenal. Eddie Nketiah replaces Gabriel Jesus.","[14451, 19680]",74911,4961,Eddie Nketiah,Gabriel Jesus,14451,12,19680,7,p205533,p205651,11,28,1,1,ARS,FALSE
466,2,"Sat 13 Aug 2022, 15:00 BST",Arsenal,Leicester City,4,2,1707583,84,substitution,"Substitution, Arsenal. Eddie Nketiah replaces Gabriel Jesus.","[14451, 19680]",74921,5028,Eddie Nketiah,Gabriel Jesus,14451,12,19680,7,p205533,p205651,11,28,1,1,ARS,FALSE
571,3,"Sat 20 Aug 2022, 17:30 BST",Bournemouth,Arsenal,0,3,1709170,75,substitution,"Substitution, Arsenal. Eddie Nketiah replaces Gabriel Martinelli.","[14451, 66104]",74931,4441,Eddie Nketiah,Gabriel Martinelli,14451,12,66104,4,p205533,p444145,11,19,1,1,ARS,FALSE
663,4,"Sat 27 Aug 2022, 17:30 BST",Arsenal,Fulham,2,1,1713435,61,substitution,"Substitution, Arsenal. Eddie Nketiah replaces Kieran Tierney.","[14451, 12185]",74941,3623,Eddie Nketiah,Kieran Tierney,14451,12,12185,1,p205533,p192895,11,8,1,1,ARS,FALSE
